Identifier,Gene
ENSP00000216068,DNAL4
ENSP00000242819,CCDC70
ENSP00000256544,KATNBL1
ENSP00000258383,MRPL44
ENSP00000261811,CYSTM1
ENSP00000276066,RAB41
ENSP00000297524,SLC7A13
ENSP00000300658,PGAP3
ENSP00000301246,C19orf33
ENSP00000302260,C8orf46
ENSP00000311766,ATAD3B
ENSP00000317743,HARBI1
ENSP00000332013,ZGPAT
ENSP00000361929,CERCAM
ENSP00000364498,DXO
ENSP00000364515,BTBD17
ENSP00000386357,LRRTM4
ENSP00000400882,CAPNS2
ENSP00000409107,ZBTB42
ENSP00000432459,TMEM262
ENSP00000454926,C16orf52
ENSP00000477695,ANKRD20A1
ENSP00000378912,COBL
ENSP00000368135,LRRN4
ENSP00000484263,TMEM114
ENSP00000361405,MMP9
ENSP00000377522,MOSPD3
ENSP00000454207,TRAF3
ENSP00000339467,RHOG
ENSP00000475168,RER1
ENSP00000455041,TMC7
ENSP00000262187,RHEB
ENSP00000315118,ADCK4
ENSP00000362071,JPH2
ENSP00000291592,LRRC3
ENSP00000325775,GJC3
ENSP00000293778,CXCL16
ENSP00000300574,CRK
ENSP00000383364,PLA2G2A
ENSP00000321334,LPA
ENSP00000452126,RGMA
ENSP00000182290,TSPAN32
ENSP00000479134,FMN1
ENSP00000311427,SNX33
ENSP00000359424,CHUK
ENSP00000238682,TGFB3
ENSP00000370981,LZTS1
ENSP00000274024,FABP2
ENSP00000333142,PLA2G6
ENSP00000357943,ANXA9
ENSP00000225823,ASIC2
ENSP00000479104,SVOP
ENSP00000026218,PIGQ
ENSP00000301272,TMIGD2
ENSP00000261800,FAT2
ENSP00000262648,KAL1
ENSP00000369962,IGSF5
ENSP00000355651,RAB4A
ENSP00000398495,DIABLO
ENSP00000297512,ASIC3
ENSP00000354558,MTOR
ENSP00000403980,CLDN34
ENSP00000308576,RHOD
ENSP00000295718,PTPRN
ENSP00000358548,NRAS
ENSP00000333833,CMTM4
ENSP00000359340,NKAIN4
ENSP00000379365,EDA2R
ENSP00000355896,TGFB2
ENSP00000386439,SYNC
ENSP00000332528,OTOP2
ENSP00000371036,SIRPD
ENSP00000263800,LTK
ENSP00000327251,NOS2
ENSP00000373884,RYR3
ENSP00000261233,IRAK3
ENSP00000354536,ASTN1
ENSP00000409581,ARRB1
ENSP00000374443,LYST
ENSP00000265896,SQLE
ENSP00000239446,PCDHB10
ENSP00000263955,STK17B
ENSP00000433816,TSPAN19
ENSP00000221130,GSR
ENSP00000280333,DOCK1
ENSP00000309757,LPL
ENSP00000291715,CLDND2
ENSP00000259053,CD302
ENSP00000272643,THSD7B
ENSP00000393719,CLEC17A
ENSP00000357588,FAM26E
ENSP00000304987,BFSP2
ENSP00000311502,HEG1
ENSP00000315070,GJD4
ENSP00000035383,LRRC7
ENSP00000380958,MBP
ENSP00000430684,IKBKB
ENSP00000369395,LRRC19
ENSP00000351430,GYPE
ENSP00000351664,MICAL1
ENSP00000369274,PHKA2
ENSP00000321005,CD300LG
ENSP00000358542,SMIM9
ENSP00000298527,CLEC1B
ENSP00000458162,ACTG1
ENSP00000432586,FAT3
ENSP00000347244,ITSN2
ENSP00000319918,ITFG1
ENSP00000427793,WWP1
ENSP00000354910,NRG2
ENSP00000453293,APBA2
ENSP00000263207,ARVCF
ENSP00000362841,NKAIN1
ENSP00000330199,SLC6A17
ENSP00000216211,UPK3A
ENSP00000265070,GOLPH3
ENSP00000313158,ZNF366
ENSP00000337226,CDCA4
ENSP00000373518,NOX5
ENSP00000333024,PHF7
ENSP00000424765,AMOTL2
ENSP00000330264,TMPRSS9
ENSP00000352172,VSIG10
ENSP00000365016,IRS2
ENSP00000474385,ADAM21
ENSP00000296511,ANXA5
ENSP00000302051,ECEL1
ENSP00000402219,VSIG1
ENSP00000413163,TMEM130
ENSP00000360561,ENTPD8
ENSP00000417038,PHACTR2
ENSP00000333735,NPAP1
ENSP00000352927,MTCL1
ENSP00000276185,FRMPD3
ENSP00000258443,EDAR
ENSP00000424711,CLRN2
ENSP00000439244,CIZ1
ENSP00000334463,LYPD6
ENSP00000419101,CACNA2D3
ENSP00000435355,GJB7
ENSP00000232978,NKTR
ENSP00000431748,PCDHA2
ENSP00000178638,CA12
ENSP00000267935,COMMD4
ENSP00000314976,IL20RA
ENSP00000432660,CFL1
ENSP00000300184,MS4A7
ENSP00000331062,VSTM4
ENSP00000340212,TMEM202
ENSP00000396304,CLDN25
ENSP00000447731,TMEM116
ENSP00000471502,LRRC4B
ENSP00000280481,FREM2
ENSP00000358242,PNISR
ENSP00000477515,DGKK
ENSP00000234488,CLCN6
ENSP00000231751,LTF
ENSP00000247153,CFP
ENSP00000261637,UTP20
ENSP00000318113,CLDN22
ENSP00000337907,MPP7
ENSP00000338330,PAQR6
ENSP00000231134,PCDHB5
ENSP00000371193,CPPED1
ENSP00000354912,MAGEE1
ENSP00000261609,HERC2
ENSP00000441913,ARHGEF28
ENSP00000289153,PIK3CB
ENSP00000473983,TMEM120A
ENSP00000328405,DGKA
ENSP00000394417,MORF4L2
ENSP00000222345,SIPA1L3
ENSP00000356058,FAIM3
ENSP00000311032,CASP3
ENSP00000358997,IRAK1
ENSP00000480322,CD99L2
ENSP00000344430,IFITM10
ENSP00000345672,CTSB
ENSP00000405032,GSG1
ENSP00000409937,ALS2CR11
ENSP00000358099,RGS10
ENSP00000377862,FAT4
ENSP00000365919,WDR13
ENSP00000303212,SEMA3E
ENSP00000480821,LSR
ENSP00000357158,FCRL1
ENSP00000248553,HSPB1
ENSP00000386022,MS4A15
ENSP00000261205,SYT1
ENSP00000439937,HOMER3
ENSP00000451235,H326
ENSP00000258403,SLC19A3
ENSP00000478830,TMPRSS7
ENSP00000364578,NELFE
ENSP00000262134,LPCAT2
ENSP00000347602,ARID4A
ENSP00000367081,SLC17A2
ENSP00000349971,CEACAM3
ENSP00000302578,FAM84B
ENSP00000354972,NAA35
ENSP00000380675,WEE2
ENSP00000349147,CNNM1
ENSP00000322956,MFAP3
ENSP00000296603,LMBRD2
ENSP00000367428,MS4A13
ENSP00000366563,PIK3CD
ENSP00000444411,FRMPD1
ENSP00000313088,NETO1
ENSP00000231173,PCDHB15
ENSP00000272771,TMEFF2
ENSP00000280527,CRIM1
ENSP00000346802,PCDHB11
ENSP00000352849,SIRPB2
ENSP00000428343,RGS21
ENSP00000402505,CPAMD8
ENSP00000265016,BST1
ENSP00000442688,MFSD5
ENSP00000443917,TEX40
ENSP00000348216,TRIM4
ENSP00000441624,TAS2R20
ENSP00000478289,IGHV4-38-2
ENSP00000354498,PHLDB1
ENSP00000404375,RPL36A
ENSP00000477141,FRRS1L
ENSP00000337972,GDPD5
ENSP00000391942,NECAP2
ENSP00000419663,TMEM30C
ENSP00000323275,DYX1C1
ENSP00000346012,RPL36AL
ENSP00000269491,SERPINB12
ENSP00000281081,NUBPL
ENSP00000426290,MLIP
ENSP00000329312,IGLL1
ENSP00000352163,LYPD2
ENSP00000243298,RAB9B
ENSP00000384370,STEAP1B
ENSP00000263967,PIK3CA
ENSP00000444736,TAS2R30
ENSP00000215095,STX1B
ENSP00000305529,SIRPG
ENSP00000466070,LYPD8
ENSP00000278853,ZP1
ENSP00000284136,SEMA3D
ENSP00000344563,CLEC12B
ENSP00000265362,SEMA3A
ENSP00000266556,TAPBPL
ENSP00000312774,SPACA4
ENSP00000399229,MXRA8
ENSP00000270792,SH3BGRL3
ENSP00000296955,DCBLD1
ENSP00000357392,EFNA1
ENSP00000373937,PRTG
ENSP00000482306,TTC8
ENSP00000283254,SCN3A
ENSP00000299608,TMX3
ENSP00000359594,CLCA4
ENSP00000436552,IGSF9B
ENSP00000381992,SEPT7
ENSP00000466898,LPPR2
ENSP00000321537,LLGL1
ENSP00000356925,FCRLB
ENSP00000264833,OLFM2
ENSP00000311221,ZMAT3
ENSP00000281031,NDUFC2
ENSP00000346130,SVIP
ENSP00000297668,CNTNAP3
ENSP00000300190,MS4A5
ENSP00000323895,OR10D3
ENSP00000321330,RNF144A
ENSP00000358001,TACC2
ENSP00000271588,HMCN1
ENSP00000356951,C1orf192
ENSP00000376188,CRLF1
ENSP00000364526,KIAA1462
ENSP00000446184,RRP12
ENSP00000483879,XKR5
ENSP00000319192,STK17A
ENSP00000366452,SNX15
ENSP00000376565,TMUB1
ENSP00000318607,LDLRAD3
ENSP00000364486,FBP2
ENSP00000328625,NRROS
ENSP00000238508,SERPINB10
ENSP00000257910,TSPAN31
ENSP00000273047,RAB5A
ENSP00000343144,PARD6G
ENSP00000356825,ADCY10
ENSP00000298694,ARHGEF40
ENSP00000311364,MUCL1
ENSP00000391498,KCNK16
ENSP00000319914,C8orf4
ENSP00000350402,HHLA2
ENSP00000404236,LILRA5
ENSP00000007414,OSBPL7
ENSP00000410764,ENSP00000410764
ENSP00000477314,PCDHB16
ENSP00000229195,CNOT2
ENSP00000351333,ARHGAP19
ENSP00000358430,TECTB
ENSP00000431719,TAS2R43
ENSP00000237172,FILIP1
ENSP00000267853,MYZAP
ENSP00000302913,SH3D19
ENSP00000273258,ARL6IP5
ENSP00000379997,GAPT
ENSP00000380794,CHMP7
ENSP00000318234,COL26A1
ENSP00000418193,SPRR2F
ENSP00000311436,ABRA
ENSP00000345491,PCDHB13
ENSP00000382434,PLA2G4E
ENSP00000231130,PCDHB3
ENSP00000240587,TSHZ3
ENSP00000249776,KNSTRN
ENSP00000382341,RABGGTA
ENSP00000203556,GMIP
ENSP00000355402,ISLR2
ENSP00000410083,VEZT
ENSP00000484228,ATRAID
ENSP00000337618,NIPA2
ENSP00000377370,IGSF11
ENSP00000375093,TAS2R31
ENSP00000439601,HMHA1
ENSP00000457539,APOBR
ENSP00000481054,RAB44
ENSP00000319623,IGDCC4
ENSP00000335153,HSP90AA1
ENSP00000386928,STK16
ENSP00000450842,TMEM30B
ENSP00000459799,TNK1
ENSP00000478725,IGHV3-11
ENSP00000326759,LRIG3
ENSP00000359245,ABCA4
ENSP00000364978,LY6G6C
ENSP00000261170,GUCY2C
ENSP00000268231,SEPT12
ENSP00000313600,ATP10B
ENSP00000357740,SPRR2E
ENSP00000221847,EBI3
ENSP00000260810,TOPBP1
ENSP00000309751,SLC16A13
ENSP00000359675,GNG5
ENSP00000377941,ACTN1
ENSP00000429073,NKAIN3
ENSP00000466058,RDH8
ENSP00000484403,TPTE
ENSP00000255266,PDE6A
ENSP00000374135,LRP1B
ENSP00000376432,KCNJ1
ENSP00000216832,PNN
ENSP00000347719,TBCD
ENSP00000363411,GNG10
ENSP00000380271,RAPGEF4
ENSP00000311336,ATP8B3
ENSP00000362047,XKRX
ENSP00000376141,MFSD6
ENSP00000357702,S100A3
ENSP00000424176,WAP7
ENSP00000385450,MAGI1
ENSP00000285046,FGD5
ENSP00000378367,NRG4
ENSP00000216117,HMOX1
ENSP00000327509,STAC2
ENSP00000361746,EPPIN
ENSP00000376293,OSBPL6
ENSP00000482442,FXYD6
ENSP00000337353,TDP1
ENSP00000394178,TMEM182
ENSP00000479089,OSCAR
ENSP00000259154,KCTD3
ENSP00000261488,ENOX1
ENSP00000164227,BCL3
ENSP00000328412,PDE6G
ENSP00000347583,MFSD12
ENSP00000358407,ADAM30
ENSP00000226578,MANBA
ENSP00000328016,TNFAIP8L3
ENSP00000239449,PCDHB14
ENSP00000328090,OTOP3
ENSP00000365261,LST1
ENSP00000392423,RELN
ENSP00000219409,ARHGDIG
ENSP00000358547,MPP1
ENSP00000320176,HCLS1
ENSP00000465260,C19orf26
ENSP00000356218,CYB5R1
ENSP00000482128,CPEB3
ENSP00000318066,ENPP4
ENSP00000322304,PORCN
ENSP00000361499,YIPF3
ENSP00000436042,PCDHA9
ENSP00000306185,ANTXR2
ENSP00000313601,CC2D1A
ENSP00000324127,PSD3
ENSP00000380903,ROBO3
ENSP00000449629,ANKS1B
ENSP00000252015,TRPC4AP
ENSP00000273317,LIMD1
ENSP00000317473,RABGGTB
ENSP00000397552,ACTL6A
ENSP00000433157,BBIP1
ENSP00000262375,DNAJA3
ENSP00000347032,PIP4K2C
ENSP00000364501,CD300LD
ENSP00000383089,TPTE2
ENSP00000433712,SPRN
ENSP00000255224,SYT4
ENSP00000296129,CDCP1
ENSP00000349437,IGF2R
ENSP00000368710,RASSF2
ENSP00000473990,ALDH3B1
ENSP00000243611,C4BPB
ENSP00000306772,LDB2
ENSP00000357737,SPRR2G
ENSP00000371512,SGCZ
ENSP00000221459,LIN7B
ENSP00000256389,ADAM20
ENSP00000272367,CLEC4F
ENSP00000331698,KCNJ15
ENSP00000341412,PLET1
ENSP00000352447,C1orf116
ENSP00000363023,DLGAP4
ENSP00000483313,WASF2
ENSP00000347916,CLEC12A
ENSP00000359417,MTMR1
ENSP00000436455,NUCB2
ENSP00000350509,AIG1
ENSP00000480091,NMRK2
ENSP00000056217,ARHGEF5
ENSP00000362109,FRS3
ENSP00000331242,KREMEN1
ENSP00000298542,FRMD7
ENSP00000328875,TRAK2
ENSP00000354878,KIF21A
ENSP00000005995,PRSS21
ENSP00000350881,GRAMD1C
ENSP00000364985,LY6G6D
ENSP00000248150,GNG13
ENSP00000320302,OR5AN1
ENSP00000364860,ROR2
ENSP00000366898,HIF3A
